Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
L47237,0,298.8,309.1,1513,40.3,160,0,0,0,0,0,0
M14918,1,298.8,309.0,1661,29.5,162,0,0,0,0,0,0
L47239,0,298.8,309.1,1378,54.4,165,0,0,0,0,0,0
L47240,0,298.8,309.1,1393,52.6,167,0,0,0,0,0,0
M14921,1,298.8,309.0,1592,38.2,169,0,0,0,0,0,0
L47242,0,298.8,309.0,1829,22.9,172,0,0,0,0,0,0
M14923,1,298.9,309.0,1812,25.9,174,0,0,0,0,0,0
L47244,0,299.0,309.1,1523,38.6,177,0,0,0,0,0,0
L47245,0,299.0,309.1,1394,45.1,179,0,0,0,0,0,0
M14926,1,298.9,308.9,1679,28.7,181,0,0,0,0,0,0
H29481,2,298.8,308.9,1466,44.1,184,0,0,0,0,0,0
L47248,0,298.8,308.9,1527,32.4,189,0,0,0,0,0,0
L47249,0,298.9,309.0,1410,65.7,191,1,0,0,1,1,0
M14930,1,298.9,309.0,1924,22.6,193,0,0,0,0,0,0
L47251,0,298.9,309.1,1452,45.5,196,0,0,0,0,0,0
L47252,0,298.9,309.1,1369,44.4,198,0,0,0,0,0,0
L47253,0,299.0,309.1,1592,35.0,200,0,0,0,0,0,0
L47254,0,298.9,309.0,1601,32.3,202,0,0,0,0,0,0
L47255,0,298.8,308.9,1379,46.7,204,0,0,0,0,0,0
L47256,0,298.8,308.9,1461,47.9,206,0,0,0,0,0,0
L47257,0,298.8,308.9,1455,41.3,208,1,1,0,0,0,0
L47258,0,298.8,308.9,1398,51.5,0,0,0,0,0,0,0
L47259,0,298.8,308.9,1402,37.9,2,0,0,0,0,0,0
H29494,2,298.8,308.8,1445,49.9,4,0,0,0,0,0,0
L47261,0,298.9,308.9,1450,47.5,9,0,0,0,0,0,0
L47262,0,298.9,308.9,1453,40.8,11,0,0,0,0,0,0
L47263,0,299.0,309.0,1469,40.1,13,0,0,0,0,0,0
L47264,0,298.9,308.9,1422,47.6,15,0,0,0,0,0,0
M14945,1,299.0,309.0,1804,26.8,17,0,0,0,0,0,0
H29500,2,299.0,309.0,1436,43.9,20,0,0,0,0,0,0
L47267,0,299.0,309.0,1544,31.8,25,0,0,0,0,0,0
M14948,1,299.0,309.0,1419,45.2,27,0,0,0,0,0,0
M14949,1,298.9,308.9,1487,39.5,30,0,0,0,0,0,0
L47270,0,298.9,308.9,1753,25.8,33,0,0,0,0,0,0
L47271,0,298.9,308.9,1830,24.9,35,0,0,0,0,0,0
M14952,1,298.9,308.9,1727,27.1,37,0,0,0,0,0,0
L47273,0,299.1,309.0,1450,43.0,40,0,0,0,0,0,0
L47274,0,299.0,308.9,1622,31.9,42,0,0,0,0,0,0
M14955,1,299.0,309.0,1351,52.2,44,0,0,0,0,0,0
M14956,1,299.0,309.0,1575,35.3,47,0,0,0,0,0,0
M14957,1,298.9,308.9,1750,29.9,50,0,0,0,0,0,0
L47278,0,298.9,308.8,1529,32.7,53,0,0,0,0,0,0
L47279,0,298.8,308.8,1523,44.4,55,0,0,0,0,0,0
L47280,0,298.8,308.9,1852,25.0,57,0,0,0,0,0,0
L47281,0,298.8,308.8,1991,20.7,59,0,0,0,0,0,0
L47282,0,298.8,308.8,1555,40.6,61,0,0,0,0,0,0
M14963,1,298.8,308.8,1441,40.5,63,0,0,0,0,0,0
L47284,0,298.8,308.7,1450,43.4,66,0,0,0,0,0,0
L47285,0,298.8,308.7,1591,31.1,68,0,0,0,0,0,0
L47286,0,298.8,308.7,1445,48.5,70,0,0,0,0,0,0
M14967,1,298.8,308.8,1497,46.8,72,0,0,0,0,0,0
H29522,2,298.9,308.8,1621,32.7,75,0,0,0,0,0,0
L47289,0,298.9,308.7,1572,34.1,80,0,0,0,0,0,0
L47290,0,298.8,308.6,1872,22.5,82,0,0,0,0,0,0
H29525,2,298.7,308.6,1499,43.5,84,0,0,0,0,0,0
M14972,1,298.8,308.7,1498,39.5,89,0,0,0,0,0,0
M14973,1,298.8,308.6,1486,41.9,92,0,0,0,0,0,0
L47294,0,298.8,308.6,1680,29.4,95,0,0,0,0,0,0
L47295,0,298.8,308.6,1431,45.7,97,0,0,0,0,0,0
L47296,0,298.9,308.7,1564,34.1,99,0,0,0,0,0,0
L47297,0,298.8,308.6,1599,33.0,101,0,0,0,0,0,0
M14978,1,298.8,308.6,1707,28.1,103,0,0,0,0,0,0
L47299,0,298.7,308.5,1467,40.7,106,0,0,0,0,0,0
L47300,0,298.9,308.7,1433,44.7,108,0,0,0,0,0,0
L47301,0,298.9,308.7,1558,41.2,110,0,0,0,0,0,0
L47302,0,299.0,308.8,1310,50.7,112,0,0,0,0,0,0
L47303,0,298.9,308.7,1546,43.4,114,0,0,0,0,0,0
L47304,0,298.9,308.7,1727,29.4,116,0,0,0,0,0,0
L47305,0,298.9,308.6,1560,32.2,118,0,0,0,0,0,0
L47306,0,299.0,308.6,1329,60.5,120,0,0,0,0,0,0
L47307,0,298.9,308.6,1413,46.5,122,0,0,0,0,0,0
L47308,0,299.0,308.6,1587,38.6,124,0,0,0,0,0,0
L47309,0,298.9,308.5,1559,34.3,126,0,0,0,0,0,0
L47310,0,298.8,308.4,1473,41.1,128,0,0,0,0,0,0
L47311,0,298.8,308.4,1737,27.7,130,0,0,0,0,0,0
M14992,1,298.7,308.4,1441,43.2,132,0,0,0,0,0,0
M14993,1,298.7,308.4,1430,49.6,135,0,0,0,0,0,0
L47314,0,298.8,308.4,1369,53.0,138,0,0,0,0,0,0
M14995,1,298.8,308.5,1711,28.5,140,0,0,0,0,0,0
H29550,2,298.7,308.5,1420,45.7,143,0,0,0,0,0,0
L47317,0,298.7,308.6,1297,55.3,148,0,0,0,0,0,0
H29552,2,298.8,308.6,1449,49.4,150,0,0,0,0,0,0
L47319,0,298.8,308.6,1268,55.8,155,0,0,0,0,0,0
L47320,0,298.8,308.6,1511,36.1,157,0,0,0,0,0,0
L47321,0,298.7,308.5,1544,35.2,159,0,0,0,0,0,0
M15002,1,298.6,308.4,1778,28.2,161,0,0,0,0,0,0
H29557,2,298.6,308.4,1407,50.5,164,0,0,0,0,0,0
M15004,1,298.6,308.4,1391,42.4,169,0,0,0,0,0,0
L47325,0,298.5,308.4,1513,33.6,172,0,0,0,0,0,0
H29560,2,298.5,308.4,1612,36.1,174,0,0,0,0,0,0
L47327,0,298.4,308.4,1515,40.1,179,0,0,0,0,0,0
M15008,1,298.3,308.3,1379,48.0,181,0,0,0,0,0,0
L47329,0,298.4,308.3,1473,39.9,184,0,0,0,0,0,0
L47330,0,298.4,308.3,1422,42.7,186,0,0,0,0,0,0
M15011,1,298.4,308.2,1463,37.6,188,0,0,0,0,0,0
M15012,1,298.4,308.2,1584,41.0,191,0,0,0,0,0,0
L47333,0,298.4,308.2,1850,27.0,194,0,0,0,0,0,0
L47334,0,298.4,308.2,1528,36.2,196,0,0,0,0,0,0
H29569,2,298.4,308.2,1987,19.8,198,0,0,0,0,0,0
M15016,1,298.4,308.1,1495,46.0,203,0,0,0,0,0,0
H29571,2,298.4,308.2,1478,43.5,206,0,0,0,0,0,0
M15018,1,298.4,308.2,1499,40.0,211,0,0,0,0,0,0
L47339,0,298.4,308.2,1471,47.0,214,0,0,0,0,0,0
L47340,0,298.4,308.2,1282,60.7,216,1,0,0,0,1,0
L47341,0,298.3,308.1,1412,52.3,218,1,0,0,0,1,0
L47342,0,298.3,308.1,1586,35.5,0,0,0,0,0,0,0
M15023,1,298.4,308.2,1468,43.8,2,0,0,0,0,0,0
M15024,1,298.5,308.3,1440,43.6,5,0,0,0,0,0,0
L47345,0,298.5,308.4,1733,26.0,8,0,0,0,0,0,0
H29580,2,298.4,308.2,1612,32.6,10,0,0,0,0,0,0
H29581,2,298.4,308.3,1458,42.9,15,0,0,0,0,0,0
L47348,0,298.4,308.3,1433,62.3,20,1,0,0,1,0,0
L47349,0,298.4,308.3,1318,59.1,22,0,0,0,0,0,0
M15030,1,298.4,308.2,1610,35.0,24,0,0,0,0,0,0
L47351,0,298.2,308.1,1462,50.8,27,0,0,0,0,0,0
M15032,1,298.1,308.0,1924,20.8,29,0,0,0,0,0,0
M15033,1,298.2,308.0,1591,33.7,32,0,0,0,0,0,0
L47354,0,298.2,308.1,1306,58.3,35,0,0,0,0,0,0
L47355,0,298.2,308.1,1382,43.5,37,0,0,0,0,0,0
L47356,0,298.2,308.1,1618,34.7,39,0,0,0,0,0,0
L47357,0,298.2,308.2,1988,21.4,41,0,0,0,0,0,0
L47358,0,298.2,308.2,1436,50.2,43,0,0,0,0,0,0
L47359,0,298.2,308.3,1304,49.8,45,0,0,0,0,0,0
L47360,0,298.2,308.3,1475,49.9,47,0,0,0,0,0,0
H29595,2,298.2,308.3,1824,24.2,49,0,0,0,0,0,0
M15042,1,298.1,308.2,1342,48.1,54,0,0,0,0,0,0
L47363,0,298.1,308.2,1485,40.7,57,0,0,0,0,0,0
L47364,0,298.2,308.2,1667,30.6,59,0,0,0,0,0,0
L47365,0,298.2,308.2,1446,38.2,61,0,0,0,0,0,0
L47366,0,298.1,308.3,1301,56.0,63,0,0,0,0,0,0
L47367,0,298.2,308.4,1379,43.1,65,0,0,0,0,0,0
L47368,0,298.3,308.5,1606,33.6,67,0,0,0,0,0,0
M15049,1,298.3,308.4,1539,43.4,69,0,0,0,0,0,0
L47370,0,298.2,308.4,1477,49.9,72,0,0,0,0,0,0
L47371,0,298.2,308.4,1666,34.6,74,0,0,0,0,0,0
H29606,2,298.2,308.4,1398,51.8,76,0,0,0,0,0,0
H29607,2,298.2,308.4,1678,34.6,81,0,0,0,0,0,0
M15054,1,298.2,308.5,2678,10.7,86,1,0,0,1,0,0
L47375,0,298.3,308.5,1453,42.9,89,0,0,0,0,0,0
H29610,2,298.3,308.6,1432,49.5,91,0,0,0,0,0,0
M15057,1,298.4,308.6,1527,40.9,96,0,0,0,0,0,0
L47378,0,298.4,308.7,1588,35.0,99,0,0,0,0,0,0
L47379,0,298.4,308.6,1433,47.1,101,0,0,0,0,0,0
L47380,0,298.4,308.6,1609,35.0,103,0,0,0,0,0,0
L47381,0,298.3,308.5,1575,41.2,105,0,0,0,0,0,0
M15062,1,298.4,308.5,1636,35.7,107,0,0,0,0,0,0
L47383,0,298.4,308.5,1490,37.9,110,0,0,0,0,0,0
L47384,0,298.4,308.5,1741,32.8,112,0,0,0,0,0,0
M15065,1,298.5,308.6,1344,53.0,114,0,0,0,0,0,0
L47386,0,298.5,308.7,1609,35.3,117,0,0,0,0,0,0
M15067,1,298.4,308.7,1421,60.7,119,1,0,0,1,0,0
L47388,0,298.4,308.6,1591,36.7,122,0,0,0,0,0,0
L47389,0,298.4,308.6,1477,44.0,124,0,0,0,0,0,0
L47390,0,298.4,308.7,1523,36.1,126,0,0,0,0,0,0
L47391,0,298.5,308.7,1575,33.9,128,0,0,0,0,0,0
H29626,2,298.4,308.7,1344,52.9,130,0,0,0,0,0,0
L47393,0,298.4,308.7,1386,44.9,135,0,0,0,0,0,0
M15074,1,298.3,308.6,1589,37.1,137,0,0,0,0,0,0
L47395,0,298.3,308.6,1548,40.3,140,0,0,0,0,0,0
L47396,0,298.3,308.6,1499,38.3,142,0,0,0,0,0,0
L47397,0,298.3,308.5,1664,31.6,144,0,0,0,0,0,0
L47398,0,298.3,308.6,1447,38.1,146,0,0,0,0,0,0
M15079,1,298.3,308.5,1434,46.2,148,0,0,0,0,0,0
L47400,0,298.3,308.5,1416,52.7,151,0,0,0,0,0,0
H29635,2,298.4,308.5,1827,24.3,153,0,0,0,0,0,0
L47402,0,298.4,308.6,1304,45.0,158,0,0,0,0,0,0
L47403,0,298.4,308.6,1569,34.4,160,0,0,0,0,0,0
L47404,0,298.3,308.6,1584,29.3,162,0,0,0,0,0,0
L47405,0,298.3,308.5,1362,53.8,164,0,0,0,0,0,0
L47406,0,298.3,308.4,1329,49.2,166,0,0,0,0,0,0
L47407,0,298.3,308.5,1539,36.1,168,0,0,0,0,0,0
M15088,1,298.3,308.5,1629,37.1,170,0,0,0,0,0,0
L47409,0,298.3,308.5,1538,32.2,173,0,0,0,0,0,0
L47410,0,298.3,308.6,1570,34.8,175,0,0,0,0,0,0
L47411,0,298.3,308.4,1408,43.1,177,0,0,0,0,0,0
L47412,0,298.2,308.4,1424,47.6,179,0,0,0,0,0,0
L47413,0,298.2,308.4,1512,34.9,181,0,0,0,0,0,0
L47414,0,298.2,308.4,1478,42.9,183,0,0,0,0,0,0
M15095,1,298.1,308.3,1680,33.7,185,0,0,0,0,0,0
L47416,0,298.1,308.3,1495,38.7,188,0,0,0,0,0,0
M15097,1,298.0,308.1,1552,36.6,190,0,0,0,0,0,0
L47418,0,297.9,308.1,1393,50.3,193,0,0,0,0,0,0
L47419,0,298.0,308.2,1611,30.6,195,0,0,0,0,0,0
M15100,1,298.0,308.1,1339,51.6,197,0,0,0,0,0,0
L47421,0,298.0,308.1,1777,24.3,200,0,0,0,0,0,0
L47422,0,298.0,308.2,1348,58.8,202,1,0,0,0,1,0
L47423,0,298.0,308.2,1442,44.1,204,0,0,0,0,0,0
M15104,1,298.0,308.2,1395,49.1,206,0,0,0,0,0,0
M15105,1,297.9,308.1,1627,31.4,209,0,0,0,0,0,0
L47426,0,297.9,308.1,1585,33.5,212,0,0,0,0,0,0
L47427,0,298.0,308.2,1469,45.5,214,0,0,0,0,0,0
L47428,0,298.0,308.3,1362,56.8,216,1,0,0,0,1,0
L47429,0,298.0,308.3,1405,56.2,218,1,0,0,0,1,0
L47430,0,298.0,308.3,1662,32.7,0,0,0,0,0,0,0
M15111,1,298.0,308.2,1466,42.6,2,0,0,0,0,0,0
L47432,0,298.0,308.2,1620,35.8,5,0,0,0,0,0,0
L47433,0,298.0,308.2,1357,48.2,7,0,0,0,0,0,0
L47434,0,298.0,308.2,1514,37.9,9,0,0,0,0,0,0
L47435,0,298.0,308.2,1489,40.4,11,0,0,0,0,0,0
L47436,0,298.1,308.3,1331,63.0,13,0,0,0,0,0,0
L47437,0,298.0,308.0,1615,29.5,15,0,0,0,0,0,0
L47438,0,298.1,308.2,1482,37.9,17,0,0,0,0,0,0
M15119,1,298.1,308.2,1420,63.9,19,1,0,0,1,0,0
M15120,1,298.2,308.3,1522,49.1,22,0,0,0,0,0,0
L47441,0,298.1,308.2,1654,32.1,25,0,0,0,0,0,0
M15122,1,298.1,308.2,1736,26.8,27,0,0,0,0,0,0
M15123,1,298.0,308.1,1587,32.3,30,0,0,0,0,0,0
L47444,0,298.1,308.2,1390,47.5,33,0,0,0,0,0,0
L47445,0,298.0,308.1,1454,37.1,35,0,0,0,0,0,0
H29680,2,298.0,308.1,1440,43.7,37,0,0,0,0,0,0
L47447,0,297.9,308.0,1954,21.1,42,0,0,0,0,0,0
H29682,2,297.9,308.0,1800,24.8,44,0,0,0,0,0,0
L47449,0,298.0,308.0,1524,37.0,49,0,0,0,0,0,0
H29684,2,298.0,308.0,1520,39.6,51,0,0,0,0,0,0
M15131,1,298.1,308.1,1452,40.8,56,0,0,0,0,0,0
L47452,0,298.1,308.1,1484,40.4,59,0,0,0,0,0,0
L47453,0,298.1,308.0,1426,46.0,61,0,0,0,0,0,0
L47454,0,298.1,308.0,1652,28.5,63,0,0,0,0,0,0
L47455,0,298.0,308.0,1401,54.7,65,0,0,0,0,0,0
M15136,1,298.0,307.9,1750,26.6,67,0,0,0,0,0,0
H29691,2,298.0,308.0,1479,50.7,70,0,0,0,0,0,0
M15138,1,298.0,308.0,1620,29.4,75,0,0,0,0,0,0
L47459,0,298.0,308.1,1819,23.4,78,0,0,0,0,0,0
M15140,1,298.1,308.1,1456,43.7,80,0,0,0,0,0,0
L47461,0,298.1,308.0,1626,36.5,83,0,0,0,0,0,0
M15142,1,298.1,308.1,1390,49.8,85,0,0,0,0,0,0
L47463,0,298.2,308.2,1469,43.0,88,0,0,0,0,0,0
L47464,0,298.2,308.3,2051,19.2,90,0,0,0,0,0,0
L47465,0,298.2,308.3,1568,36.0,92,0,0,0,0,0,0
L47466,0,298.2,308.3,1589,33.2,94,0,0,0,0,0,0
L47467,0,298.2,308.3,1805,31.6,96,0,0,0,0,0,0
H29702,2,298.2,308.4,1385,42.2,98,0,0,0,0,0,0
L47469,0,298.1,308.4,1436,46.7,103,0,0,0,0,0,0
L47470,0,298.1,308.4,1438,45.6,105,0,0,0,0,0,0
L47471,0,298.0,308.3,1473,42.6,107,0,0,0,0,0,0
L47472,0,298.1,308.4,1335,40.2,109,0,0,0,0,0,0
H29707,2,298.1,308.5,1392,44.8,111,0,0,0,0,0,0
M15154,1,298.1,308.5,1372,51.1,116,0,0,0,0,0,0
M15155,1,298.1,308.6,1716,30.7,119,0,0,0,0,0,0
L47476,0,298.0,308.5,1395,46.2,122,0,0,0,0,0,0
L47477,0,298.0,308.5,1713,25.3,124,0,0,0,0,0,0
H29712,2,297.9,308.5,2129,18.7,126,0,0,0,0,0,0
M15159,1,297.8,308.3,1567,35.6,131,0,0,0,0,0,0
L47480,0,297.8,308.4,1622,38.3,134,0,0,0,0,0,0
L47481,0,297.7,308.4,1740,27.1,136,0,0,0,0,0,0
H29716,2,297.8,308.4,1512,35.1,138,0,0,0,0,0,0
M15163,1,297.8,308.4,1479,43.5,143,0,0,0,0,0,0
L47484,0,297.8,308.4,1737,27.5,146,0,0,0,0,0,0
L47485,0,297.8,308.4,2129,19.2,148,0,0,0,0,0,0
L47486,0,297.8,308.4,1374,47.1,150,0,0,0,0,0,0
M15167,1,297.8,308.4,1579,36.6,152,0,0,0,0,0,0
L47488,0,297.9,308.5,1305,47.2,155,0,0,0,0,0,0
M15169,1,297.9,308.5,1449,40.8,157,0,0,0,0,0,0
H29724,2,298.0,308.6,1526,41.8,160,0,0,0,0,0,0
M15171,1,298.0,308.6,1453,44.1,165,0,0,0,0,0,0
L47492,0,297.9,308.6,1468,36.0,168,0,0,0,0,0,0
L47493,0,298.0,308.6,1313,50.8,170,0,0,0,0,0,0
M15174,1,297.9,308.5,1300,53.0,172,0,0,0,0,0,0
L47495,0,297.9,308.4,1646,40.6,175,0,0,0,0,0,0
L47496,0,297.8,308.4,1714,33.2,177,0,0,0,0,0,0
L47497,0,297.8,308.4,1685,28.4,179,0,0,0,0,0,0
L47498,0,297.8,308.4,1512,39.9,181,0,0,0,0,0,0
L47499,0,297.8,308.4,1612,32.1,183,0,0,0,0,0,0
H29734,2,297.8,308.4,1550,38.2,185,0,0,0,0,0,0
L47501,0,297.8,308.4,1518,32.5,190,0,0,0,0,0,0
L47502,0,297.8,308.5,1448,40.0,192,0,0,0,0,0,0
L47503,0,297.8,308.5,1561,46.3,194,0,0,0,0,0,0
M15184,1,297.8,308.5,1488,41.9,196,0,0,0,0,0,0
L47505,0,297.8,308.5,1699,27.8,199,0,0,0,0,0,0
L47506,0,297.7,308.5,1501,41.4,201,0,0,0,0,0,0
L47507,0,297.7,308.5,1373,56.7,203,1,0,0,0,1,0
H29742,2,297.6,308.4,1703,31.4,205,0,0,0,0,0,0
H29743,2,297.7,308.5,1720,29.9,210,0,0,0,0,0,0
M15190,1,297.6,308.4,1398,41.9,215,0,0,0,0,0,0
M15191,1,297.6,308.4,1391,51.9,218,0,0,0,0,0,0
M15192,1,297.6,308.3,1538,40.2,0,0,0,0,0,0,0
L47513,0,297.5,308.2,1647,31.3,3,0,0,0,0,0,0
M15194,1,297.5,308.1,1469,44.8,5,0,0,0,0,0,0
L47515,0,297.4,308.1,1749,25.9,8,0,0,0,0,0,0
M15196,1,297.6,308.2,1995,20.5,10,0,0,0,0,0,0
L47517,0,297.6,308.3,1742,27.7,13,0,0,0,0,0,0
L47518,0,297.5,308.2,1563,38.2,15,0,0,0,0,0,0
M15199,1,297.5,308.2,1713,32.2,17,0,0,0,0,0,0
L47520,0,297.4,308.1,1474,39.4,20,0,0,0,0,0,0
M15201,1,297.4,308.2,1530,32.6,22,0,0,0,0,0,0
L47522,0,297.4,308.2,1471,46.5,25,0,0,0,0,0,0
L47523,0,297.5,308.3,1388,48.6,27,0,0,0,0,0,0
M15204,1,297.5,308.2,2448,13.8,29,0,0,0,0,0,0
L47525,0,297.5,308.3,1585,32.9,32,0,0,0,0,0,0
M15206,1,297.5,308.3,1459,45.2,34,0,0,0,0,0,0
L47527,0,297.5,308.3,1544,40.8,37,0,0,0,0,0,0
L47528,0,297.6,308.3,1617,31.7,39,0,0,0,0,0,0
L47529,0,297.6,308.3,1595,34.3,41,0,0,0,0,0,0
H29764,2,297.6,308.3,1400,44.3,43,0,0,0,0,0,0
M15211,1,297.6,308.4,1611,31.0,48,0,0,0,0,0,0
M15212,1,297.6,308.4,1507,46.0,51,0,0,0,0,0,0
H29767,2,297.5,308.3,1674,30.0,54,0,0,0,0,0,0
L47534,0,297.6,308.3,1658,34.3,59,0,0,0,0,0,0
L47535,0,297.6,308.3,1623,36.9,61,0,0,0,0,0,0
M15216,1,297.6,308.4,1398,48.9,63,0,0,0,0,0,0
L47537,0,297.6,308.4,1517,34.2,66,0,0,0,0,0,0
M15218,1,297.6,308.3,1467,36.7,68,0,0,0,0,0,0
M15219,1,297.6,308.3,1567,34.6,71,0,0,0,0,0,0
M15220,1,297.5,308.3,1521,38.2,74,0,0,0,0,0,0
L47541,0,297.5,308.3,1596,36.8,77,0,0,0,0,0,0
H29776,2,297.6,308.3,1640,30.9,79,0,0,0,0,0,0
L47543,0,297.6,308.3,1438,47.8,84,0,0,0,0,0,0
L47544,0,297.6,308.4,1407,55.2,86,0,0,0,0,0,0
L47545,0,297.6,308.4,1353,57.5,88,0,0,0,0,0,0
M15226,1,297.6,308.5,1552,40.9,90,0,0,0,0,0,0
M15227,1,297.6,308.4,1569,38.3,93,0,0,0,0,0,0
L47548,0,297.5,308.4,1489,39.5,96,0,0,0,0,0,0
H29783,2,297.5,308.4,1587,36.1,98,0,0,0,0,0,0
M15230,1,297.5,308.3,1622,37.2,103,0,0,0,0,0,0
L47551,0,297.5,308.4,1604,38.1,106,0,0,0,0,0,0
M15232,1,297.4,308.3,1405,51.7,108,0,0,0,0,0,0
L47553,0,297.4,308.3,1412,42.0,111,0,0,0,0,0,0
L47554,0,297.4,308.3,1431,43.0,113,0,0,0,0,0,0
L47555,0,297.4,308.2,1533,37.4,115,0,0,0,0,0,0
M15236,1,297.4,308.2,1401,51.9,117,0,0,0,0,0,0
M15237,1,297.4,308.2,1424,53.9,120,0,0,0,0,0,0
L47558,0,297.3,308.2,1754,29.4,123,0,0,0,0,0,0
L47559,0,297.3,308.2,1754,26.8,125,0,0,0,0,0,0
L47560,0,297.5,308.3,2564,12.8,127,1,0,0,1,0,0
L47561,0,297.5,308.5,1546,40.4,129,0,0,0,0,0,0
L47562,0,297.5,308.5,1335,48.0,131,0,0,0,0,0,0
M15243,1,297.5,308.6,1842,27.0,133,0,0,0,0,0,0
L47564,0,297.5,308.5,1712,26.8,136,0,0,0,0,0,0
M15245,1,297.6,308.6,1414,45.4,138,0,0,0,0,0,0
L47566,0,297.6,308.7,1319,50.9,141,0,0,0,0,0,0
L47567,0,297.7,308.7,1249,60.4,143,0,0,0,0,0,0
L47568,0,297.6,308.7,1455,48.2,145,0,0,0,0,0,0
M15249,1,297.6,308.7,1408,54.8,147,0,0,0,0,0,0
L47570,0,297.6,308.7,1460,46.7,150,0,0,0,0,0,0
L47571,0,297.6,308.6,1491,38.1,152,0,0,0,0,0,0
M15252,1,297.6,308.5,1490,43.4,154,0,0,0,0,0,0
M15253,1,297.5,308.4,1350,52.2,157,0,0,0,0,0,0
L47574,0,297.5,308.4,1528,39.9,160,0,0,0,0,0,0
